timestamp,mode,session_index,max_score
2025-09-19 15:22:53,auto,1,3
2025-09-19 15:22:58,manual,1,0
2025-09-19 15:22:58,manual,2,0
2025-09-19 15:22:58,manual,3,0
2025-09-19 15:22:58,manual,4,0
2025-09-19 15:22:58,manual,5,0
2025-09-19 15:22:58,manual,6,0
2025-09-19 15:22:58,manual,7,0
2025-09-19 15:22:58,manual,8,0
2025-09-19 15:22:58,manual,9,0
2025-09-19 15:22:58,manual,10,0
2025-09-19 15:22:58,manual,11,0
2025-09-19 15:22:58,manual,12,0
2025-09-19 15:22:58,manual,13,0
2025-09-19 15:22:58,manual,14,0
2025-09-19 15:22:58,manual,15,0
2025-09-19 15:22:58,manual,16,0
2025-09-19 15:22:58,manual,17,0
2025-09-19 15:22:58,manual,18,0
2025-09-19 15:22:58,manual,19,0
2025-09-19 15:22:58,manual,20,0
2025-09-19 15:22:58,manual,21,0
2025-09-19 15:22:58,manual,22,0
2025-09-19 15:22:58,manual,23,0
2025-09-19 15:22:58,manual,24,0
2025-09-19 15:22:58,manual,25,0
2025-09-19 15:22:58,manual,26,0
2025-09-19 15:22:58,manual,27,0
2025-09-19 15:22:58,manual,28,0
2025-09-19 15:22:58,manual,29,0
2025-09-19 15:22:59,manual,30,0
2025-09-19 15:22:59,manual,31,0
2025-09-19 15:22:59,manual,32,0
2025-09-19 15:22:59,manual,33,0
2025-09-19 15:22:59,manual,34,0
2025-09-19 15:22:59,manual,35,0
2025-09-19 15:22:59,manual,36,0
2025-09-19 15:22:59,manual,37,0
2025-09-19 15:22:59,manual,38,0
2025-09-19 15:22:59,manual,39,0
2025-09-19 15:22:59,manual,40,0
2025-09-19 15:22:59,manual,41,0
2025-09-19 15:22:59,manual,42,0
2025-09-19 15:22:59,manual,43,0
2025-09-19 15:22:59,manual,44,0
2025-09-19 15:22:59,manual,45,0
2025-09-19 15:22:59,manual,46,0
2025-09-19 15:22:59,manual,47,0
2025-09-19 15:22:59,manual,48,0
2025-09-19 15:22:59,manual,49,0
2025-09-19 15:22:59,manual,50,0
2025-09-19 15:22:59,manual,51,0
2025-09-19 15:22:59,manual,52,0
2025-09-19 15:22:59,manual,53,0
2025-09-19 15:22:59,manual,54,0
2025-09-19 15:22:59,manual,55,0
2025-09-19 15:22:59,manual,56,0
2025-09-19 15:22:59,manual,57,0
2025-09-19 15:22:59,manual,58,0
2025-09-19 15:22:59,manual,59,0
2025-09-19 15:22:59,manual,60,0
2025-09-19 15:22:59,manual,61,0
2025-09-19 15:22:59,manual,62,0
2025-09-19 15:22:59,manual,63,0
2025-09-19 15:22:59,manual,64,1
2025-09-19 15:22:59,manual,65,1
2025-09-19 15:22:59,manual,66,1
2025-09-19 15:22:59,manual,67,1
2025-09-19 15:22:59,manual,68,1
2025-09-19 15:22:59,manual,69,1
2025-09-19 15:22:59,manual,70,1
2025-09-19 15:22:59,manual,71,1
