session_id,generation,best_fitness,avg_fitness,best_score
20250919-145043,0,12.345000000000045,8.746562500000016,1
20250919-145043,1,16.662500000000094,10.726437500000046,1
20250919-145043,2,19.452500000000082,11.090541666666716,1
20250919-145043,3,16.270000000000103,11.200687500000058,1
20250919-145043,4,149.3290394736854,4.697694122807027,9
20250919-145043,4,159.41720433436652,3.438710134158939,10
20250919-145043,4,33.675529411764806,7.680485294117663,2
20250919-145043,5,17.132882352941287,7.514829411764739,1
20250919-145043,6,54.319117647058135,3.2574729255940826,3
20250919-145043,6,91.1897389705868,3.710067101675096,6
20250919-145043,6,37.87949999999993,10.499106250000022,2
20250919-145043,7,135.43443749999915,4.502007726269298,8
20250919-145043,7,49.48099999999943,7.2862424242423804,3
20250919-145043,8,122.52711904761713,2.767775622831904,7
20250919-145043,8,18.853428571428672,8.674107142857185,1
20250919-145043,9,87.03749999999873,3.0588585619678277,5
20250919-145043,9,18.072142857142968,5.904970238095262,1
20250919-145043,10,54.312214285713594,2.8996780952380963,3
20250919-145043,10,18.929571428571542,10.545351190476241,1
20250919-145043,11,35.36678571428572,9.355551020408189,2
