session_id,generation,best_fitness,avg_fitness,best_score
20250919-152257,0,12.217750000000049,3.6628750000000068,1
20250919-152257,1,8.18475000000001,3.4786666666666677,1
20250919-152257,2,11.059500000000037,9.151375000000003,1
20250919-152257,3,15.215500000000077,6.076333333333352,1
20250919-152257,4,15.584250000000093,8.495083333333353,1
20250919-152257,5,10.769499999999999,8.438156249999999,1
20250919-152257,0,31.48675000000017,9.16354166666671,2
20250919-152257,1,18.457750000000097,5.290208333333347,1
20250919-152257,2,20.02875000000013,14.770625000000086,1
20250919-152257,3,16.228500000000093,10.947375000000035,1
20250919-152257,4,53.710499999999406,2.5410973154362386,3
20250919-152257,0,33.82025000000011,11.42212500000003,2
20250919-152257,1,19.412750000000116,7.7808437500000265,1
20250919-152257,2,35.83799999999988,18.47418750000004,2
20250919-152257,3,16.74875000000008,12.144343750000058,1
