session_id,generation,best_fitness,avg_fitness,best_score
20250919-150724,0,16.084250000000093,8.676812500000047,1
20250919-150724,1,16.081750000000092,7.972062500000032,1
20250919-150724,2,35.61499999999996,16.412624999999988,2
20250919-150724,3,18.04375000000011,13.346125000000066,1
20250919-150724,4,17.03175000000011,9.108531250000029,1
20250919-150724,5,38.40349999999987,13.463781250000002,2
20250919-150724,6,37.36749999999986,15.88093750000003,2
20250919-150724,7,52.7814999999994,2.880973509933776,3
20250919-150724,7,16.458750000000094,12.560343750000062,1
20250919-150724,8,127.25677631578733,3.9868139350052894,7
20250919-150724,8,11.937894736842125,4.117039473684216,1
20250919-150724,9,80.22173684210414,3.865533380430941,5
20250919-150724,9,71.4176666666656,3.1605544369873164,4
20250919-150724,9,72.65338888888799,3.563332587621177,4
20250919-150724,9,55.19655555555494,3.110466442953015,3
20250919-150724,9,64.96811111111019,3.4633937360178932,4
20250919-150724,9,34.88683333333335,17.878216666666724,2
